================================================================================
           PRODEXA - OFFICIAL EXPECTED-OUTPUT SCHEMA COVERAGE AUDIT            
================================================================================
Audit Timestamp: 2026-08-21
Target Delivery Schema: Unihack_ Expected Output - Delivery Format.csv
Internal Data Models Evaluated: PRODEXA Intelligence Pipeline & data/final/enriched.csv
Final Output Dataset Generated: data/final/unihack_expected_output.csv
================================================================================

1. SCHEMA DISTINCTION & COVERAGE SUMMARY
--------------------------------------------------------------------------------
  - Expected schema fields                           : 252
  - Fields originally present in enriched.csv        : 25
  - Directly matched fields                          : 17
  - Internal/extra fields in enriched.csv            : 5
  - Fields Not Directly Available in enriched.csv    : 235
  - Final delivery columns                           : 252
  - Fields populated in at least one product         : 63 (25.0%)
  - Fields completely empty across all products     : 189 (75.0%)

  [EXPLANATION REGARDING 'Fields Not Directly Available in enriched.csv: 235']
  Note: The 235 fields not directly present in enriched.csv are NOT missing from the final delivery schema.
  The generated delivery file (data/final/unihack_expected_output.csv) contains ALL 252 required columns.
  These 235 non-direct fields are either:
    a) Deterministically mapped from other PRODEXA intelligence outputs (e.g. described_products.csv,
       attribute_evidence.csv, source_registry.csv, product_taxonomy.csv, dynamic attribute store), or
    b) Left strictly as clean empty strings when required product information is genuinely unavailable.

2. SUPPORT CATEGORY BREAKDOWN & DEFINITIONS
--------------------------------------------------------------------------------
Category Definitions:
  - FULLY_SUPPORTED    : >= 80% product population (>= 800 out of 1000 products)
  - PARTIALLY_SUPPORTED: 1% to 79% product population (1 to 799 out of 1000 products)
  - NOT_SUPPORTED      : 0% product population (0 out of 1000 products; clean empty strings)

Category Counts:
  - FULLY_SUPPORTED    : 20 fields
  - PARTIALLY_SUPPORTED: 43 fields
  - NOT_SUPPORTED      : 189 fields
  - Verification Check : 20 + 43 + 189 = 252 (Matches Expected 252: True)

3. INTERNAL METADATA FIELDS IN enriched.csv
--------------------------------------------------------------------------------
  - validation_status (Internal validation/confidence flag)
  - confidence_score (Internal validation/confidence flag)
  - confidence_decision (Internal validation/confidence flag)
  - human_review_status (Internal validation/confidence flag)
  - evidence_status (Internal validation/confidence flag)

4. COMPLETE FIELD-BY-FIELD MAPPING & AUDIT TABLE
--------------------------------------------------------------------------------
IDX  | EXPECTED HEADER                   | SUPPORT CATEGORY    | POPULATED | POP %  | SOURCE PRODEXA FIELD           | TRANSFORMATION / UNSUPPORTED EXPLANATION
124  | ATTRIBUTE_UOM 23                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
125  | ATTRIBUTE_LABEL 24                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
126  | ATTRIBUTE_VALUE 24                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
127  | ATTRIBUTE_UOM 24                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
128  | ATTRIBUTE_LABEL 25                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
129  | ATTRIBUTE_VALUE 25                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
130  | ATTRIBUTE_UOM 25                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
131  | ATTRIBUTE_LABEL 26                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
132  | ATTRIBUTE_VALUE 26                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
133  | ATTRIBUTE_UOM 26                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
134  | ATTRIBUTE_LABEL 27                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
135  | ATTRIBUTE_VALUE 27                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
136  | ATTRIBUTE_UOM 27                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
137  | ATTRIBUTE_LABEL 28                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
138  | ATTRIBUTE_VALUE 28                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
139  | ATTRIBUTE_UOM 28                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
140  | ATTRIBUTE_LABEL 29                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
141  | ATTRIBUTE_VALUE 29                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
142  | ATTRIBUTE_UOM 29                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
143  | ATTRIBUTE_LABEL 30                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
144  | ATTRIBUTE_VALUE 30                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
145  | ATTRIBUTE_UOM 30                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
146  | ATTRIBUTE_LABEL 31                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
147  | ATTRIBUTE_VALUE 31                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
148  | ATTRIBUTE_UOM 31                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
149  | ATTRIBUTE_LABEL 32                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
150  | ATTRIBUTE_VALUE 32                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
151  | ATTRIBUTE_UOM 32                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
152  | ATTRIBUTE_LABEL 33                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
153  | ATTRIBUTE_VALUE 33                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
154  | ATTRIBUTE_UOM 33                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
155  | ATTRIBUTE_LABEL 34                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
156  | ATTRIBUTE_VALUE 34                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
157  | ATTRIBUTE_UOM 34                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
158  | ATTRIBUTE_LABEL 35                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
159  | ATTRIBUTE_VALUE 35                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
160  | ATTRIBUTE_UOM 35                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
161  | ATTRIBUTE_LABEL 36                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
162  | ATTRIBUTE_VALUE 36                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
163  | ATTRIBUTE_UOM 36                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
164  | ATTRIBUTE_LABEL 37                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
165  | ATTRIBUTE_VALUE 37                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
166  | ATTRIBUTE_UOM 37                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
167  | ATTRIBUTE_LABEL 38                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
168  | ATTRIBUTE_VALUE 38                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
169  | ATTRIBUTE_UOM 38                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
170  | ATTRIBUTE_LABEL 39                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
171  | ATTRIBUTE_VALUE 39                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
172  | ATTRIBUTE_UOM 39                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
173  | ATTRIBUTE_LABEL 40                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
174  | ATTRIBUTE_VALUE 40                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
175  | ATTRIBUTE_UOM 40                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
176  | ATTRIBUTE_LABEL 41                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
177  | ATTRIBUTE_VALUE 41                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
178  | ATTRIBUTE_UOM 41                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
179  | ATTRIBUTE_LABEL 42                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
180  | ATTRIBUTE_VALUE 42                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
181  | ATTRIBUTE_UOM 42                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
182  | ATTRIBUTE_LABEL 43                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
183  | ATTRIBUTE_VALUE 43                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
184  | ATTRIBUTE_UOM 43                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
185  | ATTRIBUTE_LABEL 44                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
186  | ATTRIBUTE_VALUE 44                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
187  | ATTRIBUTE_UOM 44                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
188  | ATTRIBUTE_LABEL 45                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
189  | ATTRIBUTE_VALUE 45                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
190  | ATTRIBUTE_UOM 45                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
191  | ATTRIBUTE_LABEL 46                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
192  | ATTRIBUTE_VALUE 46                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
193  | ATTRIBUTE_UOM 46                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
194  | ATTRIBUTE_LABEL 47                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
195  | ATTRIBUTE_VALUE 47                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
196  | ATTRIBUTE_UOM 47                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
197  | ATTRIBUTE_LABEL 48                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
198  | ATTRIBUTE_VALUE 48                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
199  | ATTRIBUTE_UOM 48                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
200  | ATTRIBUTE_LABEL 49                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
201  | ATTRIBUTE_VALUE 49                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
202  | ATTRIBUTE_UOM 49                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
203  | ATTRIBUTE_LABEL 50                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
204  | ATTRIBUTE_VALUE 50                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
205  | ATTRIBUTE_UOM 50                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
206  | UPC                               | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
207  | EAN                               | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
208  | GTIN                              | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
209  | UNSPSC                            | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
210  | Warranty                          | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
211  | List Price                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
212  | Selling Qty                       | PARTIALLY_SUPPORTED | 102/1000  | 10.2%  | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
213  | Selling UOM                       | PARTIALLY_SUPPORTED | 102/1000  | 10.2%  | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
214  | Standard Packaging Information    | PARTIALLY_SUPPORTED | 102/1000  | 10.2%  | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
215  | LENGTH                            | PARTIALLY_SUPPORTED | 45/1000   | 4.5%   | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
216  | LENGTH_UOM                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
217  | HEIGHT                            | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
218  | HEIGHT_UOM                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
219  | WIDTH                             | PARTIALLY_SUPPORTED | 45/1000   | 4.5%   | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
220  | WIDTH_UOM                         | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
221  | WEIGHT                            | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
222  | WEIGHT_UOM                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Physical Spec & Packaging Normalizer (Phase 6)
223  | VOLUME                            | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
224  | VOLUME_UOM                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
225  | Product Image                     | FULLY_SUPPORTED     | 1000/1000 | 100.0% | source_registry.csv [source_type] | PRODEXA Document Asset Resolver (Phase 8/9)
226  | Alternate Image 1                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
227  | Alternate Image 2                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
228  | Alternate Image 3                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
229  | Alternate Image 4                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
230  | SDS                               | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
231  | SDS_1                             | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
232  | Warranty Information              | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
233  | Catalog                           | PARTIALLY_SUPPORTED | 30/1000   | 3.0%   | source_registry.csv [source_type] | PRODEXA Document Asset Resolver (Phase 8/9)
234  | Specification Sheet               | PARTIALLY_SUPPORTED | 494/1000  | 49.4%  | source_registry.csv [source_type] | PRODEXA Document Asset Resolver (Phase 8/9)
235  | Instruction/Installation Manual   | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
236  | Service Manual                    | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
237  | Owners/User Manual                | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
238  | Line Drawing                      | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
239  | MTR                               | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
240  | RoHS                              | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
241  | Full Engineering Drawing          | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
242  | Energy Star Guide                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
243  | Technical Bulletin                | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
244  | Submittal                         | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
245  | Compatibility Chart               | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
246  | Size Chart                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
247  | Product Label/Insert              | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
248  | Video Link                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
249  | Video Link 1                      | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
250  | Country Of Origin                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
251  | Discontinued                      | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
252  | Actual Image (Yes/No)             | FULLY_SUPPORTED     | 1000/1000 | 100.0% | source_registry.csv [source_type] | PRODEXA Document Asset Resolver (Phase 8/9)

5. FINAL SCHEMA INTEGRITY VERIFICATION BLOCK
--------------------------------------------------------------------------------
Expected headers: 252
Generated headers: 252
Header mismatch: 0
Duplicate headers: 0
Unexpected headers: 0
Row count: 1000
Schema validation: PASS
================================================================================
